"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Pyrrhura pfrimeri","Pyrrhura pfrimeri",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Radinopsyche sellowi","Herpsilochmus sellowi",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Ramphastos tucanus","Ramphastos tucanus",NA,"Aves","Piciformes","Ramphastidae","faunabr",NA
"Ramphotrigon ruficauda","Ramphotrigon ruficauda","Platyrhynchus ruficauda","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Reithrodon typicus","Reithrodon typicus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhagomys rufescens","Rhagomys rufescens",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhinella azarai","Rhinella azarai","Bufo granulosus","Amphibia","Anura","Bufonidae","faunabr",NA
"Rhinella diptycha","Rhinella diptycha;Rhinella jimi","Bufo diptychus;Bufo jimi","Amphibia","Anura","Bufonidae","faunabr","Rhinella jimi"
"Rhinella dorbignyi","Rhinella dorbignyi;Rhinella fernandezae","Bufo dorbignyi","Amphibia","Anura","Bufonidae","faunabr","Rhinella fernandezae"
"Rhinoclemmys punctularia","Rhinoclemmys punctularia","Testudo punctularia","Reptilia","Testudines","Geoemydidae","faunabr",NA
"Rhinophylla pumilio","Rhinophylla pumilio",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Rhipidomys cariri","Rhipidomys cariri",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhipidomys emiliae","Rhipidomys emiliae","Oecomys emiliae","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhipidomys itoan","Rhipidomys itoan",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhipidomys macrurus","Rhipidomys macrurus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhipidomys tribei","Rhipidomys tribei",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Rhynchocyclus olivaceus","Rhynchocyclus olivaceus","Platyrhynchos olivaceus","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Rhynchonycteris naso","Rhynchonycteris naso","Vespertilio naso","Mammalia","Chiroptera","Emballonuridae","faunabr",NA
"Saccopteryx leptura","Saccopteryx leptura","Vespertilio lepturus","Mammalia","Chiroptera","Emballonuridae","faunabr",NA
"Saguinus ursula","Saguinus ursula",NA,"Mammalia","Primates","Cebidae","faunabr",NA
"Saimiri collinsi","Saimiri collinsi","Saimiri sciurea","Mammalia","Primates","Cebidae","faunabr",NA
"Sakesphoroides cristatus","Sakesphorus cristatus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Sakesphorus luctuosus","Sakesphorus luctuosus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Saltator aurantiirostris","Saltator aurantiirostris",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Saltator grossus","Saltator grossus","Loxia grossa","Aves","Passeriformes","Thraupidae","faunabr",NA
"Saltator maximus","Saltator maximus","Tanagra maxima","Aves","Passeriformes","Thraupidae","faunabr",NA
"Saltatricula atricollis","Saltatricula atricollis","Saltator atricollis","Aves","Passeriformes","Thraupidae","faunabr",NA
"Saltatricula multicolor","Saltatricula multicolor","Saltator multicolor","Aves","Passeriformes","Thraupidae","faunabr",NA
"Sapajus xanthosternos","Sapajus xanthosternos","Cebus xanthosternos","Mammalia","Primates","Cebidae","faunabr",NA
"Scapteromys aquaticus","Scapteromys aquaticus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Scapteromys tumidus","Scapteromys tumidus","Mus tumidus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Schiffornis turdina","Schiffornis turdina","Muscicapa turdina","Aves","Passeriformes","Tityridae","faunabr",NA
"Sclateria naevia","Sclateria naevia",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Sclerurus caudacutus","Sclerurus caudacutus","Thamnophilus caudacutus","Aves","Passeriformes","Scleruridae","faunabr",NA
"Sclerurus cearensis","Sclerurus cearensis",NA,"Aves","Passeriformes","Scleruridae","faunabr",NA
"Sclerurus macconnelli","Sclerurus obscurior macconnelli;Sclerurus mexicanus macconnelli",NA,"Aves","Passeriformes","Scleruridae","faunabr",NA
"Sclerurus rufigularis","Sclerurus rufigularis",NA,"Aves","Passeriformes","Scleruridae","faunabr",NA
"Scytalopus gonzagai","Scytalopus gonzagai",NA,"Aves","Passeriformes","Rhinocryptidae","faunabr",NA
"Scytalopus petrophilus","Scytalopus petrophilus",NA,"Aves","Passeriformes","Rhinocryptidae","faunabr",NA
"Selenidera gouldii","Selenidera gouldii",NA,"Aves","Piciformes","Ramphastidae","faunabr",NA
"Serpophaga griseicapilla","Serpophaga griseicapilla",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Setophaga cerulea","Setophaga cerulea",NA,"Aves","Passeriformes","Parulidae","faunabr",NA
"Siagonodon septemstriatus","Siagonodon septemstriatus","Typhlops septemstriatus","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Sibon nebulatus","Sibon nebulatus","Coluber nebulatus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Sibynomorphus neuwiedi","Dipsas neuwiedi","Cochliophagus mikanii","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Sicalis columbiana","Sicalis columbiana",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Simophis rhinostoma","Simophis rhinostoma","Heterodon rhinostoma","Reptilia","Squamata","Colubridae","faunabr",NA
"Siphlophis cervinus","Siphlophis cervinus","Coronella cervina","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Siphlophis compressus","Siphlophis compressus","Coluber compressus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Siphlophis leucocephalus","Siphlophis leucocephalus","Leptodira leucocephalus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Siphlophis longicaudatus","Siphlophis longicaudatus","Tropidodipsas longicaudata","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Siphlophis pulcher","Siphlophis pulcher","Coluber pulcher","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Sirystes subcanescens","Sirystes subcanescens",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Spatula platalea","Spatula platalea","Anas platalea","Aves","Anseriformes","Anatidae","faunabr",NA
"Spinus yarrellii","Spinus yarrellii","Carduelis yarrellii","Aves","Passeriformes","Fringillidae","faunabr",NA
"Sporophila albogularis","Sporophila albogularis","Loxia albogularis","Aves","Passeriformes","Thraupidae","faunabr",NA
"Sporophila ardesiaca","Sporophila ardesiaca","Spermophila ardesiaca","Aves","Passeriformes","Thraupidae","faunabr",NA
"Sporophila maximiliani","Sporophila maximiliani","Oryzoborus maximiliani","Aves","Passeriformes","Thraupidae","faunabr",NA
"Sporophila nigrorufa","Sporophila nigrorufa",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Stercorarius longicaudus","Stercorarius longicaudus",NA,"Aves","Charadriiformes","Stercorariidae","faunabr",NA
"Sternula antillarum","Sternula antillarum",NA,"Aves","Charadriiformes","Sternidae","faunabr",NA
"Stigmatura budytoides","Stigmatura budytoides",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Stigmatura napensis","Stigmatura napensis",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Stilpnia cyanicollis","Stilpnia cyanicollis","Aglaia cyanicollis","Aves","Passeriformes","Thraupidae","faunabr",NA
"Sturnira giannae","Sturnira giannae",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Sula sula","Sula sula","Pelecanus sula","Aves","Suliformes","Sulidae","faunabr",NA
"Synallaxis albilora","Synallaxis albilora",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis cinerea","Synallaxis cinerea",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis gujanensis","Synallaxis gujanensis","Motacilla gujanensis","Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis hellmayri","Gyalophylax hellmayri","Synallaxis hellmayri","Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis infuscata","Synallaxis infuscata",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis rutilans","Synallaxis rutilans",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis scutata","Synallaxis scutata",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Synallaxis simoni","Synallaxis simoni",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Syndactyla dimidiata","Syndactyla dimidiata",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Tachyphonus phoenicius","Tachyphonus phoenicius",NA,"Aves","Passeriformes","Thraupidae","faunabr",NA
"Taeniophallus brevirostris","Taeniophallus brevirostris","Dromicus brevirostris","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Taeniophallus poecilopogon","Taeniophallus poecilopogon",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Taeniotriccus andrei","Taeniotriccus andrei",NA,"Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Tamatia tamatia","Bucco tamatia tamatia;Nystactes tamatia tamatia",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Tangara cyanomelas","Tangara velia","Motacilla velia","Aves","Passeriformes","Thraupidae","faunabr",NA
"Tangara cyanoventris","Tangara cyanoventris","Tanagra cyanoventris","Aves","Passeriformes","Thraupidae","faunabr",NA
"Tangara fastuosa","Tangara fastuosa","Tanagra fastuosa","Aves","Passeriformes","Thraupidae","faunabr",NA
"Tangara mexicana","Tangara mexicana","Tanagra mexicana","Aves","Passeriformes","Thraupidae","faunabr",NA
"Tantilla boipiranga","Tantilla boipiranga",NA,"Reptilia","Squamata","Colubridae","faunabr",NA
"Tantilla marcovani","Tantilla melanocephala","Coluber melanocephalus","Reptilia","Squamata","Colubridae","faunabr",NA
"Taoniscus nanus","Taoniscus nanus",NA,"Aves","Tinamiformes","Tinamidae","faunabr",NA
"Terenotriccus erythrurus","Terenotriccus erythrurus","Myiobius erythrurus","Aves","Passeriformes","Onychorhynchidae","faunabr",NA
"Terenura sicki","Terenura sicki",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thalpomys cerradensis","Thalpomys cerradensis",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Thalpomys lasiotis","Thalpomys lasiotis",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Thalurania watertonii","Thalurania watertonii","Trochilus watertonii","Aves","Apodiformes","Trochilidae","faunabr",NA
"Thamnodynastes almae","Thamnodynastes almae",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Thamnodynastes chaquensis","Thamnodynastes chaquensis",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Thamnodynastes lanei","Thamnodynastes lanei",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Thamnodynastes longicaudus","Thamnodynastes longicauda",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Thamnodynastes rutilus","Thamnodynastes rutilus","Dryophylax rutilus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Thamnodynastes sertanejo","Thamnodynastes sertanejo",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Thamnomanes caesius","Thamnomanes caesius","Muscicapa caesia","Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus aethiops","Thamnophilus aethiops",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus amazonicus","Thamnophilus amazonicus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus ambiguus","Thamnophilus ambiguus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus capistratus","Thamnophilus doliatus capistratus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus palliatus","Thamnophilus palliatus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus sticturus","Thamnophilus sticturus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thamnophilus torquatus","Thamnophilus torquatus",NA,"Aves","Passeriformes","Thamnophilidae","faunabr",NA
"Thectocercus acuticaudatus","Aratinga acuticaudata",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Thinocorus rumicivorus","Thinocorus rumicivorus",NA,"Aves","Charadriiformes","Thinocoridae","faunabr",NA
"Thraupis episcopus","Thraupis episcopus","Tanagra episcopus","Aves","Passeriformes","Thraupidae","faunabr",NA
"Thrichomys apereoides","Thrichomys apereoides",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Thrichomys fosteri","Thrichomys pachyurus","Isothrix pachyurus","Mammalia","Rodentia","Echimyidae","faunabr",NA
"Thrichomys inermis","Thrichomys inermis",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Thrichomys laurentius","Thrichomys laurentius",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Thripophaga macroura","Thripophaga macroura",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Thylamys karimii","Thylamys karimii","Marmosa karimii","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Thylamys macrurus","Thylamys macrurus",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Thylamys velutinus","Thylamys velutinus",NA,"Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Thyroptera devivoi","Thyroptera devivoi",NA,"Mammalia","Chiroptera","Thyropteridae","faunabr",NA
"Thyroptera wynneae","Thyroptera wynneae",NA,"Mammalia","Chiroptera","Thyropteridae","faunabr",NA
"Tinamus guttatus","Tinamus guttatus",NA,"Aves","Tinamiformes","Tinamidae","faunabr",NA
"Tinamus tao","Tinamus tao",NA,"Aves","Tinamiformes","Tinamidae","faunabr",NA
"Todirostrum maculatum","Todirostrum maculatum","Todus maculatus","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Tolmomyias assimilis","Tolmomyias assimilis","Rhynchocyclus assimilis","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Tolmomyias flaviventris","Tolmomyias flaviventris","Muscipeta flaviventris","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Tolmomyias poliocephalus","Tolmomyias poliocephalus","Rhynchocyclus poliocephalus","Aves","Passeriformes","Rhynchocyclidae","faunabr",NA
"Tolypeutes matacus","Tolypeutes matacus",NA,"Mammalia","Cingulata","Chlamyphoridae","faunabr",NA
"Tolypeutes tricinctus","Tolypeutes tricinctus","Dasypus tricinctus","Mammalia","Cingulata","Chlamyphoridae","faunabr",NA
"Tomodon ocellatus","Tomodon ocellatus",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Touit purpuratus","Touit purpuratus","Psittacus purpuratus","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Touit surdus","Touit surdus",NA,"Aves","Psittaciformes","Psittacidae","faunabr",NA
"Trachemys adiutrix","Trachemys dorbigni","Emys dorbigni","Reptilia","Testudines","Emydidae","faunabr",NA
"Trichechus manatus","Trichechus manatus",NA,"Mammalia","Sirenia","Trichechidae","faunabr","Trichechus amazonius"
"Trilepida brasiliensis","Trilepida brasiliensis","Leptotyphlops brasiliensis","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Trilepida jani","Trilepida jani","Tricheilostoma jani","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Trilepida salgueiroi","Trilepida salgueiroi","Leptotyphlops salgueiroi","Reptilia","Squamata","Leptotyphlopidae","faunabr",NA
"Tringa inornata","Tringa semipalmata inornata","Symphemia semipalmata","Aves","Charadriiformes","Scolopacidae","faunabr",NA
"Trinomys albispinus","Trinomys albispinus","Echimys albispinus","Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys dimidiatus","Trinomys dimidiatus",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys eliasi","Trinomys eliasi",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys gratiosus","Trinomys gratiosus",NA,"Mammalia","Rodentia","Echimyidae","faunabr","Trinomys panema"
"Trinomys mirapitanga","Trinomys mirapitanga",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys moojeni","Trinomys moojeni",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys paratus","Trinomys paratus",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys setosus","Trinomys setosus",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinomys yonenagae","Trinomys yonenagae",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Trinycteris nicefori","Trinycteris nicefori","Micronycteris nicefori","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Trogon chrysochloros","Trogon rufus",NA,"Aves","Trogoniformes","Trogonidae","faunabr",NA
"Trogon collaris","Trogon collaris",NA,"Aves","Trogoniformes","Trogonidae","faunabr",NA
"Trogon curucui","Trogon curucui",NA,"Aves","Trogoniformes","Trogonidae","faunabr",NA
"Trogon muriciensis","Trogon muriciensis",NA,"Aves","Trogoniformes","Trogonidae","faunabr",NA
"Trogon ramonianus","Trogon ramonianus",NA,"Aves","Trogoniformes","Trogonidae","faunabr",NA
"Tropidophis grapiuna","Tropidophis grapiuna",NA,"Reptilia","Squamata","Tropidophiidae","faunabr",NA
"Tropidophis paucisquamis","Tropidophis paucisquamis",NA,"Reptilia","Squamata","Tropidophiidae","faunabr",NA
"Tropidophis preciosus","Tropidophis preciosus",NA,"Reptilia","Squamata","Tropidophiidae","faunabr",NA
"Tupinambis matipu","Tupinambis matipu",NA,"Reptilia","Squamata","Teiidae","faunabr",NA
"Tupinambis palustris","Tupinambis palustris",NA,"Reptilia","Squamata","Teiidae","faunabr",NA
"Tupinambis quadrilineatus","Tupinambis quadrilineatus",NA,"Reptilia","Squamata","Teiidae","faunabr",NA
"Turdus lawrencii","Turdus lawrencii",NA,"Aves","Passeriformes","Turdidae","faunabr",NA
"Turdus nudigenis","Turdus nudigenis",NA,"Aves","Passeriformes","Turdidae","faunabr",NA
"Turdus sanchezorum","Turdus sanchezorum",NA,"Aves","Passeriformes","Turdidae","faunabr",NA
"Tyrannopsis sulphurea","Tyrannopsis sulphurea","Muscicapa sulphurea","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Tyrannulus elatus","Tyrannulus elatus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Uroderma bilobatum","Uroderma bilobatum",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Uroderma magnirostrum","Uroderma magnirostrum",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Uropelia campestris","Uropelia campestris",NA,"Aves","Columbiformes","Columbidae","faunabr",NA
"Urubitinga urubitinga","Buteogallus urubitinga urubitinga",NA,"Aves","Accipitriformes","Accipitridae","faunabr",NA
"Vampyriscus bidens","Vampyriscus bidens","Chiroderma bidens","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Vampyrum spectrum","Vampyrum spectrum","Vespertilio spectrum","Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Vanellus cayanus","Hoploxypterus cayanus","Charadrius cayanus","Aves","Charadriiformes","Charadriidae","faunabr",NA
"Veniliornis affinis","Veniliornis affinis","Picus affinis","Aves","Piciformes","Picidae","faunabr",NA
"Veniliornis maculifrons","Veniliornis maculifrons","Picus maculifrons","Aves","Piciformes","Picidae","faunabr",NA
"Veniliornis mixtus","Veniliornis mixtus","Picus mixtus","Aves","Piciformes","Picidae","faunabr",NA
"Vireo chivi","Vireo olivaceus","Muscicapa olivacea","Aves","Passeriformes","Vireonidae","faunabr",NA
"Vireo gracilirostris","Vireo gracilirostris",NA,"Aves","Passeriformes","Vireonidae","faunabr",NA
"Wiedomys cerradensis","Wiedomys cerradensis",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Wiedomys pyrrhorhinos","Wiedomys pyrrhorhinos",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Xanthopsar flavus","Xanthopsar flavus",NA,"Aves","Passeriformes","Icteridae","faunabr",NA
"Xenodon rabdocephalus","Xenodon rabdocephalus","Coluber rabdocephalus","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Xenopholis scalaris","Xenopholis scalaris","Elapomorphus scalaris","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Xenopholis werdingorum","Xenopholis werdingorum",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Xeronycteris vieirai","Xeronycteris vieirai",NA,"Mammalia","Chiroptera","Phyllostomidae","faunabr",NA
"Xiphocolaptes falcirostris","Xiphocolaptes falcirostris",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Xiphocolaptes major","Xiphocolaptes major",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Xipholena atropurpurea","Xipholena atropurpurea",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Xipholena lamellipennis","Xipholena lamellipennis",NA,"Aves","Passeriformes","Cotingidae","faunabr",NA
"Xiphorhynchus atlanticus","Xiphorhynchus fuscus",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Xiphorhynchus guttatoides","Xiphorhynchus guttatus","Dendrocolaptes guttatus","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Xiphorhynchus obsoletus","Xiphorhynchus obsoletus","Dendrocolaptes obsoletus","Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Xiphorhynchus spixii","Xiphorhynchus spixii",NA,"Aves","Passeriformes","Dendrocolaptidae","faunabr",NA
"Zimmerius acer","Zimmerius gracilipes","Tyranniscus gracilipes","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Balaenoptera bonaërensis","Balaenoptera bonaerensis",NA,"Mammalia","Artiodactyla","Balaenopteridae","gbif_faunabr",NA
"Boana geographicus","Boana geographica","Hyla geographica","Amphibia","Anura","Hylidae","gbif_faunabr",NA
"Boana latistriatus","Boana latistriata","Hyla latistriata","Amphibia","Anura","Hylidae","gbif_faunabr",NA
"Boana marginatus","Boana marginata","Hyla marginata","Amphibia","Anura","Hylidae","gbif_faunabr",NA
"Boana stenocephalus","Boana stenocephala","Hyla stenocephala","Amphibia","Anura","Hylidae","gbif_faunabr",NA
"Brachycephalus pitanga","Brachycephalus pitanga",NA,"Amphibia","Anura","Brachycephalidae","gbif_faunabr",NA
"Brachycephalus pulex","Brachycephalus pulex",NA,"Amphibia","Anura","Brachycephalidae","gbif_faunabr",NA
"Carollia brevicauda","Carollia brevicaudum",NA,"Mammalia","Chiroptera","Phyllostomidae","gbif_faunabr",NA
"Chelonoidis denticulata","Chelonoidis denticulatus","Testudo denticulata","Reptilia","Testudines","Testudinidae","gbif_faunabr",NA
"Chiasmocleis alagoanus","Chiasmocleis alagoana",NA,"Amphibia","Anura","Microhylidae","gbif_faunabr",NA
"Corallus hortulanus","Corallus hortulana","Boa hortulana","Reptilia","Squamata","Boidae","gbif_faunabr",NA
"Gardnerycteris crenulata","Gardnerycteris crenulatum","Phyllostoma crenulatum","Mammalia","Chiroptera","Phyllostomidae","gbif_faunabr",NA
"Lasiurus blossevilli","Lasiurus blossevillii",NA,"Mammalia","Chiroptera","Vespertilionidae","gbif_faunabr",NA
"Pipa pipa","Pipa pipa","Rana pipa","Amphibia","Anura","Pipidae","gbif_faunabr",NA
"Pristimantis delius","Pristimantis delius","Eleutherodactylus delius","Amphibia","Anura","Craugastoridae","gbif_faunabr",NA
"Sphaenorhynchus carneus","Sphaenorhynchus carneus","Hylella carnea","Amphibia","Anura","Hylidae","gbif_faunabr",NA
"Adelophrnne nordestina","Adelophrnne nordestina",NA,"Amphibia","Anura","Eleutherodactylidae","gbif_only",NA
"Adelophryne glandulata","Adelophryne glandulata",NA,"Amphibia","Anura","Eleutherodactylidae","gbif_only",NA
"Akodon aerosus","Akodon aerosus",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Akodon affinis","Akodon affinis","Hesperomys affinis","Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Akodon serrensis","Akodon serrensis",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Akodon varius","Akodon varius",NA,"Mammalia","Rodentia","Cricetidae","gbif_only",NA
"Ameivula abalosi","Ameivula abalosi","Cnemidophorus abalosi","Squamata",NA,"Teiidae","gbif_only",NA
"Amphisbaena occidentalis","Amphisbaena occidentalis",NA,"Squamata",NA,"Amphisbaenidae","gbif_only",NA
"Anisolepis longicauda","Anisolepis longicauda","Aptycholaemus longicauda","Squamata",NA,"Leiosauridae","gbif_only",NA
"Anolis brasiliensis","Anolis brasiliensis",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis equestris","Anolis equestris",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis fuscoauratus","Anolis fuscoauratus",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis meridionalis","Anolis meridionalis",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis nasofrontalis","Anolis nasofrontalis",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis neglectus","Anolis neglectus",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis ortonii","Anolis ortonii",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis porcatus","Anolis porcatus",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anolis pseudotigrinus","Anolis pseudotigrinus",NA,"Squamata",NA,"Dactyloidae","gbif_only",NA
"Anthus chacoensis","Anthus chacoensis",NA,"Aves","Passeriformes","Motacillidae","gbif_only",NA
"Anurolimnas viridis","Anurolimnas viridis","Rallus viridis","Aves","Gruiformes","Rallidae","gbif_only",NA
"Apostolepis dorbignyi","Apostolepis dorbignyi",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Apostolepis mariae","Apostolepis mariae",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Apostolepis thalesdelemai","Apostolepis thalesdelemai",NA,"Squamata",NA,"Colubridae","gbif_only",NA
"Aratinga mitrata","Aratinga mitrata",NA,"Aves","Psittaciformes","Psittacidae","gbif_only",NA
"Artibeus fraterculus","Artibeus fraterculus",NA,"Mammalia","Chiroptera","Phyllostomidae","gbif_only",NA
"Artibeus glaucus","Artibeus glaucus",NA,"Mammalia","Chiroptera","Phyllostomidae","gbif_only",NA
"Artibeus jamaicensis","Artibeus jamaicensis",NA,"Mammalia","Chiroptera","Phyllostomidae","gbif_only",NA
"Batrachemys tuberculata","Batrachemys tuberculata",NA,"Testudines",NA,"Chelidae","gbif_only",NA
"Boana cambui","Boana cambui","Hypsiboas cambui","Amphibia","Anura","Hylidae","gbif_only",NA
"Bobbschaefferia fluminensis","Bobbschaefferia fluminensis",NA,"Mammalia","Didelphimorphia","Protodidelphidae","gbif_only",NA
"Bothrops asper","Bothrops asper","Trigonocephalus asper","Squamata",NA,"Viperidae","gbif_only",NA
"Bothrops lanceolatus","Bothrops lanceolatus",NA,"Squamata",NA,"Viperidae","gbif_only",NA
"Brachycephalus quiririensis","Brachycephalus quiririensis",NA,"Amphibia","Anura","Brachycephalidae","gbif_only",NA
"Brasilemys josai","Brasilemys josai",NA,"Testudines",NA,"Podocnemididae","gbif_only",NA
"Brasiliscincus agilis","Brasiliscincus agilis","Scincus agilis","Squamata",NA,"Scincidae","gbif_only",NA
"Brasiliscincus caissara","Brasiliscincus caissara","Mabuya caissara","Squamata",NA,"Scincidae","gbif_only",NA
"Brasiliscincus heathi","Brasiliscincus heathi","Mabuya heathi","Squamata",NA,"Scincidae","gbif_only",NA
